"{'438100', '250820', '739630', '1009850'} | support: 62"
"{'250820', '739630', '1009850'} | support: 78"
"{'438100', '1009850'} | support: 405"
"{'438100', '250820', '1009850'} | support: 405"
"{'250820', '1009850'} | support: 488"
"{'1569040', '1063730'} | support: 33"
"{'1569040', '730'} | support: 55"
"{'359320', '1063730'} | support: 35"
"{'359320', '730'} | support: 36"
"{'359320', '548430'} | support: 38"
"{'250820', '359320'} | support: 77"
"{'677620', '739630'} | support: 33"
"{'677620', '1063730'} | support: 36"
"{'677620', '250820'} | support: 37"
"{'677620', '252950'} | support: 50"
"{'677620', '1172470'} | support: 54"
"{'677620', '730'} | support: 67"
"{'250820', '389730'} | support: 34"
"{'431960', '389730'} | support: 43"
"{'1384160', '389730'} | support: 45"
"{'389730', '1172470'} | support: 50"
"{'570', '389730'} | support: 57"
"{'730', '389730'} | support: 81"
"{'294100', '881100'} | support: 32"
"{'431960', '881100'} | support: 34"
"{'105600', '881100'} | support: 36"
"{'632360', '881100'} | support: 41"
"{'881100', '730'} | support: 45"
"{'881100', '250900'} | support: 48"
"{'250820', '881100'} | support: 49"
"{'548430', '881100'} | support: 53"
"{'1134570', '1551360'} | support: 35"
"{'1134570', '227300'} | support: 39"
"{'1134570', '1063730'} | support: 41"
"{'1134570', '244210'} | support: 49"
"{'252950', '1134570'} | support: 68"
"{'1134570', '730'} | support: 102"
"{'1293830', '250820'} | support: 33"
"{'1293830', '271590'} | support: 39"
"{'1293830', '227300'} | support: 42"
"{'1293830', '431960'} | support: 44"
"{'1293830', '1172470'} | support: 44"
"{'1293830', '570'} | support: 64"
"{'1293830', '1551360'} | support: 78"
"{'1293830', '730'} | support: 114"
"{'1086940', '1172470'} | support: 32"
"{'1086940', '594570'} | support: 32"
"{'1086940', '548430'} | support: 35"
"{'1086940', '250820'} | support: 39"
"{'1086940', '570'} | support: 40"
"{'1086940', '739630'} | support: 51"
"{'1086940', '435150'} | support: 54"
"{'1086940', '1063730'} | support: 57"
"{'10', '570'} | support: 110"
"{'10', '570', '730'} | support: 61"
"{'10', '730'} | support: 251"
"{'284160', '4000'} | support: 32"
"{'284160', '1551360'} | support: 33"
"{'284160', '236390'} | support: 36"
"{'284160', '431960'} | support: 36"
"{'284160', '252950'} | support: 38"
"{'284160', '739630'} | support: 40"
"{'284160', '227300'} | support: 51"
"{'284160', '244210'} | support: 58"
"{'284160', '250820'} | support: 60"
"{'284160', '271590'} | support: 75"
"{'284160', '730'} | support: 84"
"{'239140', '1172470'} | support: 32"
"{'489830', '239140'} | support: 32"
"{'230410', '239140'} | support: 34"
"{'250820', '239140'} | support: 34"
"{'548430', '239140'} | support: 37"
"{'570', '239140'} | support: 41"
"{'239140', '271590'} | support: 42"
"{'381210', '239140'} | support: 42"
"{'739630', '239140'} | support: 46"
"{'730', '239140'} | support: 109"
"{'632360', '1384160'} | support: 34"
"{'1384160', '739630'} | support: 35"
"{'39210', '1384160'} | support: 40"
"{'431960', '1384160'} | support: 42"
"{'570', '1384160'} | support: 45"
"{'1384160', '730'} | support: 46"
"{'1384160', '548430'} | support: 48"
"{'1384160', '1172470'} | support: 76"
"{'252950', '49520'} | support: 33"
"{'440', '49520'} | support: 33"
"{'570', '49520'} | support: 34"
"{'250820', '49520'} | support: 34"
"{'230410', '49520'} | support: 37"
"{'1085660', '49520'} | support: 40"
"{'548430', '49520'} | support: 42"
"{'431960', '49520'} | support: 43"
"{'739630', '49520'} | support: 44"
"{'49520', '1172470'} | support: 46"
"{'397540', '49520'} | support: 46"
"{'730', '49520'} | support: 75"
"{'1217060', '252950'} | support: 33"
"{'1217060', '1085660'} | support: 37"
"{'1217060', '250900'} | support: 39"
"{'1217060', '570'} | support: 40"
"{'1217060', '960090'} | support: 49"
"{'1217060', '730'} | support: 52"
"{'1217060', '1063730'} | support: 53"
"{'1217060', '1172470'} | support: 56"
"{'1217060', '250820'} | support: 60"
"{'1217060', '632360'} | support: 62"
"{'1217060', '739630'} | support: 66"
"{'1217060', '548430'} | support: 92"
"{'107410', '231430'} | support: 34"
"{'231430', '686810'} | support: 37"
"{'231430', '570'} | support: 37"
"{'231430', '548430'} | support: 41"
"{'431960', '231430'} | support: 43"
"{'231430', '236390'} | support: 64"
"{'394360', '231430'} | support: 69"
"{'231430', '730'} | support: 74"
"{'787860', '236390'} | support: 35"
"{'787860', '271590'} | support: 42"
"{'787860', '730'} | support: 43"
"{'787860', '270880'} | support: 52"
"{'787860', '227300'} | support: 114"
