 {'393380',  '107410'} , support:  89 
 {'393380',  '236390'} , support:  101 
 {'730',  '393380'} , support:  122 
 {'281990',  '602960'} , support:  32 
 {'1063730',  '602960'} , support:  34 
 {'4000',  '602960'} , support:  34 
 {'602960',  '976730'} , support:  35 
 {'230410',  '602960'} , support:  38 
 {'394360',  '602960'} , support:  41 
 {'286160',  '602960'} , support:  43 
 {'294100',  '602960'} , support:  43 
 {'602960',  '431960'} , support:  45 
 {'381210',  '602960'} , support:  46 
 {'107410',  '602960'} , support:  48 
 {'594650',  '602960'} , support:  48 
 {'236390',  '602960'} , support:  56 
 {'1172470',  '602960'} , support:  57 
 {'602960',  '570'} , support:  65 
 {'250820',  '602960'} , support:  70 
 {'730',  '602960'} , support:  71 
 {'739630',  '602960'} , support:  96 
 {'602960',  '548430'} , support:  137 
 {'739630',  '813780'} , support:  34 
 {'813780',  '570'} , support:  39 
 {'1063730',  '813780'} , support:  45 
 {'1466860',  '813780'} , support:  74 
 {'730',  '813780'} , support:  122 
 {'250820',  '480'} , support:  32 
 {'252950',  '480'} , support:  36 
 {'4000',  '480'} , support:  40 
 {'359550',  '480'} , support:  40 
 {'480',  '431960'} , support:  44 
 {'1172470',  '480'} , support:  52 
 {'739630',  '480'} , support:  65 
 {'480',  '570'} , support:  121 
 {'730',  '480',  '570'} , support:  35 
 {'730',  '480'} , support:  178 
 {'270880',  '250820'} , support:  40 
 {'270880',  '730'} , support:  49 
 {'270880',  '271590'} , support:  59 
 {'270880',  '227300'} , support:  270 
 {'306130',  '1172470'} , support:  32 
 {'739630',  '306130'} , support:  34 
 {'377160',  '306130'} , support:  36 
 {'230410',  '306130'} , support:  41 
 {'306130',  '1085660'} , support:  44 
 {'306130',  '570'} , support:  50 
 {'1063730',  '306130'} , support:  58 
 {'730',  '306130'} , support:  66 
 {'306130',  '489830'} , support:  78 
 {'8930',  '960090'} , support:  33 
 {'8930',  '489830'} , support:  34 
 {'739630',  '8930'} , support:  36 
 {'250820',  '8930'} , support:  38 
 {'8930',  '440'} , support:  38 
 {'8930',  '252950'} , support:  41 
 {'8930',  '394360'} , support:  43 
 {'8930',  '570'} , support:  55 
 {'289070',  '8930'} , support:  80 
 {'730',  '8930'} , support:  108 
 {'322330',  '250820'} , support:  32 
 {'322330',  '960090'} , support:  36 
 {'322330',  '431960'} , support:  37 
 {'322330',  '1063730'} , support:  40 
 {'322330',  '230410'} , support:  41 
 {'322330',  '1172470'} , support:  45 
 {'322330',  '250900'} , support:  51 
 {'322330',  '105600'} , support:  54 
 {'322330',  '548430'} , support:  55 
 {'322330',  '440'} , support:  55 
 {'322330',  '739630'} , support:  58 
 {'322330',  '381210'} , support:  74 
 {'322330',  '570'} , support:  74 
 {'322330',  '730'} , support:  128 
 {'230410',  '291550'} , support:  32 
 {'4000',  '291550'} , support:  34 
